"tahun,nama_provinsi,nama_destinasi_wisata,nama_kabupaten_kota,jumlah"
"2017,DKI Jakarta, TIJA Ancol*,Jakarta Utara,19261212"
"2017,DKI Jakarta, Taman Mini Indonesia Indah*,Jakarta Timur,5702950"
"2017,DKI Jakarta, T. Marga Satwa Ragunan*,Jakarta Selatan,5363883"
"2017,DKI Jakarta, Monumen Nasional,Jakarta Pusat,1850471"
"2017,DKI Jakarta, Museum Nasional,Jakarta Pusat,256825"
"2017,DKI Jakarta, Museum Satria Mandala,Jakarta Selatan,36144"
"2017,DKI Jakarta, Museum Sejarah Jakarta,Jakarta Barat,783908"
"2017,DKI Jakarta, Museum Tekstil,Jakarta Barat,44761"
"2017,DKI Jakarta, Museum Bahari,Jakarta Utara,31149"
"2017,DKI Jakarta, M. Seni Rupa dan Keramik,Jakarta Barat,202887"
"2017,DKI Jakarta, Museum Wayang,Jakarta Barat,373521"
"2017,DKI Jakarta, Museum Joang '45,Jakarta Pusat,15465"
"2017,DKI Jakarta, Taman Arkeologi P.Onrust,Jakarta Utara,68667"
"2017,DKI Jakarta, Pel. Sunda Kelapa,Jakarta Utara,55326"
"2017,DKI Jakarta,Kepulauan Seribu ,Jakarta Utara,842762"
"2017,DKI Jakarta,PBB Setu Babakan ,Jakarta Selatan,517805"
"2017,DKI Jakarta,Museum Prasasti ,Jakarta Pusat,10268"
"2018,DKI Jakarta, TIJA Ancol*,Jakarta Utara,17575914"
"2018,DKI Jakarta, Taman Mini Indonesia Indah*,Jakarta Timur,6004718"
"2018,DKI Jakarta, T. Marga Satwa Ragunan*,Jakarta Selatan,5455788"
"2018,DKI Jakarta, Monumen Nasional,Jakarta Pusat,1945747"
"2018,DKI Jakarta, Museum Nasional,Jakarta Pusat,263171"
"2018,DKI Jakarta, Museum Satria Mandala,Jakarta Selatan,11693"
"2018,DKI Jakarta, Museum Sejarah Jakarta,Jakarta Barat,812668"
"2018,DKI Jakarta, Museum Tekstil,Jakarta Barat,41805"
"2018,DKI Jakarta, Museum Bahari,Jakarta Utara,24774"
"2018,DKI Jakarta, M. Seni Rupa dan Keramik,Jakarta Barat,190569"
"2018,DKI Jakarta, Museum Wayang,Jakarta Barat,372885"
"2018,DKI Jakarta, Museum Joang '45,Jakarta Pusat,18711"
"2018,DKI Jakarta, Taman Arkeologi P.Onrust,Jakarta Utara,65448"
"2018,DKI Jakarta, Pel. Sunda Kelapa,Jakarta Utara,45653"
"2018,DKI Jakarta,Kepulauan Seribu ,Jakarta Utara,662420"
"2018,DKI Jakarta,PBB Setu Babakan ,Jakarta Selatan,437766"
"2018,DKI Jakarta,Museum Prasasti,Jakarta Pusat,12356"
"2019,DKI Jakarta, TIJA Ancol*,Jakarta Utara,10359661"
"2019,DKI Jakarta, Taman Mini Indonesia Indah*,Jakarta Timur,5064814"
"2019,DKI Jakarta, T. Marga Satwa Ragunan*,Jakarta Selatan,5401977"
"2019,DKI Jakarta, Monumen Nasional (Kawasan),Jakarta Pusat,12071201"
"2019,DKI Jakarta, Museum Nasional,Jakarta Pusat,269338"
"2019,DKI Jakarta, Museum Satria Mandala,Jakarta Selatan,16350"
"2019,DKI Jakarta, Museum Sejarah Jakarta,Jakarta Barat,716556"
"2019,DKI Jakarta, Museum Tekstil,Jakarta Barat,34299"
"2019,DKI Jakarta, Museum Bahari,Jakarta Utara,27501"
"2019,DKI Jakarta, M. Seni Rupa dan Keramik,Jakarta Barat,184485"
"2019,DKI Jakarta, Museum Wayang,Jakarta Barat,312081"
"2019,DKI Jakarta, Museum Joang '45,Jakarta Pusat,18545"
"2019,DKI Jakarta, Taman Arkeologi P.Onrust,Jakarta Utara,49234"
"2019,DKI Jakarta, Pel. Sunda Kelapa,Jakarta Utara,31879"
"2019,DKI Jakarta,Kepulauan Seribu ,Jakarta Utara,597526"
"2019,DKI Jakarta,PBB Setu Babakan ,Jakarta Selatan,471910"
"2019,DKI Jakarta,Museum Prasasti ,Jakarta Pusat,10178"
