tahun,nama_provinsi,nama_destinasi_wisata,nama_kabupaten_kota,jumlah
2019,DKI Jakarta, TIJA Ancol*,Jakarta Utara,10359661
2019,DKI Jakarta, Taman Mini Indonesia Indah*,Jakarta Timur,5064814
2019,DKI Jakarta, T. Marga Satwa Ragunan*,Jakarta Selatan,5401977
2019,DKI Jakarta, Monumen Nasional (Kawasan),Jakarta Pusat,12071201
2019,DKI Jakarta, Museum Nasional,Jakarta Pusat,269338
2019,DKI Jakarta, Museum Satria Mandala,Jakarta Selatan,16350
2019,DKI Jakarta, Museum Sejarah Jakarta,Jakarta Barat,716556
2019,DKI Jakarta, Museum Tekstil,Jakarta Barat,34299
2019,DKI Jakarta, Museum Bahari,Jakarta Utara,27501
2019,DKI Jakarta, M. Seni Rupa dan Keramik,Jakarta Barat,184485
2019,DKI Jakarta, Museum Wayang,Jakarta Barat,312081
2019,DKI Jakarta, Museum Joang '45,Jakarta Pusat,18545
2019,DKI Jakarta, Taman Arkeologi P.Onrust,Jakarta Utara,49234
2019,DKI Jakarta, Pel. Sunda Kelapa,Jakarta Utara,31879
2019,DKI Jakarta,Kepulauan Seribu ,Jakarta Utara,597526
2019,DKI Jakarta,PBB Setu Babakan ,Jakarta Selatan,471910
2019,DKI Jakarta,Museum Prasasti ,Jakarta Pusat,10178
